site_id,hour,split,rows,pred_actual_ratio,site_nrmse_pct
S033,12,valid,61,0.8746473318201367,25.23755220504566
S033,13,future,89,1.008310718873696,19.0934719782472
S033,13,test,122,1.129689606132823,13.452002871448062
S033,13,train,110,1.0288760733923057,13.915253197711447
S033,13,valid,61,0.896202356896533,22.557109935374317
S033,14,future,89,1.083060690701143,16.880584853337886
S033,14,test,122,1.1485710502577573,14.309917209786486
S033,14,train,110,1.082690859051047,15.569505139413668
S033,14,valid,60,0.9079058895516541,21.37869954401928
S034,10,future,80,1.3230012112877136,19.422700697426098
S034,10,test,112,1.1261042259526093,12.311414753871333
S034,10,train,39,1.1517522439717895,20.471985270322392
S034,10,valid,62,0.9227219590816046,19.07405712545081
S034,11,future,80,1.1036616685055742,18.97120129579128
S034,11,test,111,1.1394724078510567,12.574135278177975
S034,11,train,38,1.1017158920901529,18.414528303887963
S034,11,valid,62,0.9187696374418157,21.50441734375599
S034,12,future,79,0.9907649246680028,18.604120810882367
S034,12,test,113,1.0289409622263355,13.119470798130658
S034,12,train,39,1.0810798218973146,24.048231038724083
S034,12,valid,62,0.9814492002220638,21.558300583750274
S034,13,future,79,0.9655976028128895,18.5565770716035
S034,13,test,113,1.1124029797252626,14.22918674929333
S034,13,train,37,1.0734326103140022,21.92444360970384
S034,13,valid,61,0.9500326094197837,18.999635135133396
S034,14,future,79,1.0313968363277597,16.561634409228592
