site_id,month,pr_month_new,pr_month_final,pr_count,pr_month_old,pr_diff
S059,1,0.49355337644778385,0.49355337644778385,280,0.78,0.2864466235522162
S059,2,0.5285170537925423,0.5285170537925423,324,0.78,0.2514829462074577
S059,3,0.5772353013999123,0.5772353013999123,505,0.78,0.20276469860008772
S059,4,0.6372793195667716,0.6372793195667716,570,0.78,0.1427206804332284
S059,5,0.6662330937627605,0.6662330937627605,590,0.78,0.1137669062372395
S059,6,0.6308135076532249,0.6308135076532249,531,0.78,0.14918649234677517
S059,7,0.6252390022390669,0.6252390022390669,264,0.78,0.1547609977609331
S059,8,0.7228935047921651,0.7228935047921651,357,0.78,0.05710649520783495
S059,9,0.6685087270516883,0.6685087270516883,262,0.78,0.11149127294831174
S059,10,0.6084844601806829,0.6084844601806829,244,0.78,0.1715155398193171
S059,11,0.626237332427402,0.626237332427402,160,0.78,0.15376266757259804
S059,12,0.4783608669596901,0.4783608669596901,141,0.78,0.3016391330403099
S060,4,0.45695185173184383,0.45695185173184383,80,0.78,0.3230481482681562
S060,5,0.7210142794874947,0.7210142794874947,202,0.78,0.05898572051250528
S060,6,0.8468455726652462,0.8468455726652462,168,0.78,0.06684557266524616
S061,4,0.46602538599195154,0.46602538599195154,48,0.78,0.3139746140080485
S061,5,0.4789607225932163,0.4789607225932163,202,0.78,0.3010392774067837
S061,6,0.7621570134542959,0.7621570134542959,164,0.78,0.017842986545704154
S062,1,0.5386165435293927,0.5386165435293927,277,0.78,0.24138345647060733
S062,2,0.532519815174273,0.532519815174273,324,0.78,0.24748018482572698
S062,3,0.543333999220087,0.543333999220087,508,0.78,0.23666600077991307
S062,4,0.5846707857719277,0.5846707857719277,571,0.78,0.19532921422807237
S062,5,0.6059040055079528,0.6059040055079528,589,0.78,0.17409599449204727
S062,6,0.624504262861475,0.624504262861475,546,0.78,0.15549573713852505
S062,7,0.6139856314517556,0.6139856314517556,271,0.78,0.16601436854824447
S062,8,0.7065296892037969,0.7065296892037969,354,0.78,0.07347031079620314
S062,9,0.5519274466512466,0.5519274466512466,266,0.78,0.22807255334875343
S062,10,0.1,0.1,243,0.78,0.68
S062,11,0.6281278297101485,0.6281278297101485,162,0.78,0.15187217028985156
S062,12,0.586742385331044,0.586742385331044,142,0.78,0.19325761466895608
S063,4,0.42751607871753333,0.78,5,0.78,0.0
S063,5,0.7225069220443735,0.7225069220443735,196,0.78,0.057493077955626526
S063,6,0.7538101244025526,0.7538101244025526,159,0.78,0.026189875597447454
S064,1,0.5362589868971801,0.5362589868971801,274,0.78,0.24374101310281993
S064,2,0.5438665864381724,0.5438665864381724,332,0.78,0.2361334135618276
S064,3,0.5435539639274733,0.5435539639274733,510,0.78,0.23644603607252668
